iter	MultiClass
0	1.273741016
1	1.041921108
2	0.9032192603
3	0.8185413024
4	0.7671383536
5	0.7152625004
6	0.6709764022
7	0.6442030403
8	0.6156924323
9	0.5954401811
10	0.5718009571
11	0.5523787199
12	0.5352266724
13	0.5198350044
14	0.5055885327
15	0.4943098362
16	0.4857322428
17	0.4765733668
18	0.4677444155
19	0.4608063705
20	0.4511538863
21	0.4459982118
22	0.4426621876
23	0.4361175974
24	0.4292965426
25	0.4223539021
26	0.4152533707
27	0.409091687
28	0.4045938921
29	0.3990246474
30	0.3940089348
31	0.3883484779
32	0.3840561072
33	0.3799774842
34	0.3757119796
35	0.3728411953
36	0.3685797997
37	0.3651730426
38	0.3620821548
39	0.3592846852
40	0.3563029911
41	0.3521914884
42	0.3499511133
43	0.347238648
44	0.3437767346
45	0.3409342455
46	0.338972192
47	0.3371719886
48	0.3339868543
49	0.33189844
50	0.3289424535
51	0.3271457088
52	0.324993541
53	0.3229079724
54	0.3202920238
55	0.3191594206
56	0.3171940502
57	0.3153381958
58	0.3121807692
59	0.3108507234
60	0.3092298294
61	0.3071827864
62	0.3052535934
63	0.303299612
64	0.3007864965
65	0.2983275689
66	0.2970735416
67	0.2955209394
68	0.2941029006
69	0.2921849655
70	0.2905757916
71	0.2892570808
72	0.2879413158
73	0.2868849141
74	0.2854130159
75	0.2847445944
76	0.2831763071
77	0.2813380539
78	0.2802527878
79	0.2794792545
80	0.2776689328
81	0.27688994
82	0.2755764119
83	0.2741438764
84	0.2727463565
85	0.2716316306
86	0.2706831502
87	0.2689825067
88	0.2682236879
89	0.267241453
90	0.2665270695
91	0.2654169702
92	0.2643768901
93	0.2631468141
94	0.262065553
95	0.260772758
96	0.2597094361
97	0.2589955948
98	0.2573405634
99	0.2561160639
100	0.255152814
101	0.254265657
102	0.2530305439
103	0.2520510987
104	0.2510386688
105	0.2496002752
106	0.2488856199
107	0.2481189758
108	0.2470388471
109	0.246164865
110	0.2452408834
111	0.2443264987
112	0.2435840419
113	0.2427902773
114	0.241822702
115	0.2408111408
116	0.2400829267
117	0.239022085
118	0.2381140303
119	0.236920332
120	0.2364388352
121	0.2356541608
122	0.2347424317
123	0.2338289619
124	0.2330475191
125	0.2320497991
126	0.2314440114
127	0.2305689069
128	0.2300886788
129	0.2294169205
130	0.2287628412
131	0.228016702
132	0.2275983934
133	0.2268818864
134	0.2258972151
135	0.2249949672
136	0.2245422033
137	0.2241034476
138	0.2236806239
139	0.222961141
140	0.2223547936
141	0.221687251
142	0.220786701
143	0.2199636495
144	0.2193045659
145	0.218267778
146	0.2172902484
147	0.2162625156
148	0.2157417672
149	0.2151823678
150	0.2147249511
151	0.2143995363
152	0.2135652287
153	0.2128551832
154	0.2122263478
155	0.2117217935
156	0.2107487439
157	0.2102994462
158	0.2095401107
159	0.2087346434
160	0.2082111671
161	0.2079351044
162	0.2075591772
163	0.2071284825
164	0.2063367487
165	0.2053618668
166	0.2044372026
167	0.2036277897
168	0.2031235042
169	0.202615549
170	0.2022745797
171	0.2015939077
172	0.2009469572
173	0.2001851877
174	0.1993619142
175	0.199182246
176	0.1986157069
177	0.1981399998
178	0.1978019991
179	0.1973683211
180	0.1967436989
181	0.1962482012
182	0.1955926146
183	0.1948846006
184	0.1943622042
185	0.1939355356
186	0.1932608045
187	0.1926601124
188	0.1922494719
189	0.191711575
190	0.1911507213
191	0.1904352826
192	0.1897467484
193	0.1894546313
194	0.1886742995
195	0.1882867248
196	0.1878471782
197	0.1875338286
198	0.187148485
199	0.186732734
200	0.1862935624
201	0.1855480364
202	0.1850037888
203	0.1844119746
204	0.1841185584
205	0.1836519202
206	0.1831980576
207	0.1824995997
208	0.1819385926
209	0.1812809741
210	0.1807626858
211	0.1803747827
212	0.1797978298
213	0.1793645657
214	0.1790851146
215	0.1786062475
216	0.1781858644
217	0.1777495379
218	0.1774128602
219	0.177121309
220	0.1767615135
221	0.1757556443
222	0.1752060298
223	0.1746695354
224	0.1743172413
225	0.1737163314
226	0.173311671
227	0.1725781915
228	0.1720457475
